title,calory_count,proteins,fats,carbohydrates
Компот из вишни,101,0.6,0.3,23.7
Компот из груш,74,0.2,0.2,18.1
Компот из персиков,88,0.3,0.0,21.6
Компот из черешни,87,0.5,0.2,20.6
Компот из яблок,93,0.2,0.2,22.3
Конина,167,19.5,9.9,0.0
Конина тушеная,233,19.3,17.2,0.5
Конопля-семя,372,20.1,32.5,0.0
Консервы мясные,216,18.0,16.0,0.0
Консервы овощные закусочные,28,1.2,0.1,6.0
Консервы овощные натуральные,28,1.2,0.1,6.0
Конфеты глазированные шоколадом,543,5.2,35.0,55.5
Конфеты неглазированные,402,3.0,10.0,80.0
Конфеты неглазированные шоколадные,491,4.0,26.3,59.2
Коньяк ординарный «Три звездочки»,239,0.0,0.0,1.5
Корейка копчено-запеченная (свинина),475,10.2,48.2,0.0
Корейка сырокопченая (свинина),469,10.5,47.4,0.0
Кориандр,24,1.5,0.0,5.0
Корица,247,3.99,1.24,27.49
Корнишоны,28,1.2,0.1,6.0
Корюшка зубастая,102,15.4,4.5,0.0
Кости пищевые говяжьи,105,15.0,5.0,0.0
Кости рыбные,88,17.5,2.0,0.0
Кости свинокопченостей,216,18.0,16.0,0.0
Костяника,0,0.0,0.0,0.0
Кофе жареный в зернах,331,13.9,14.4,29.5
Кофе на молоке,58,0.7,1.0,11.2
Кофе на сгущёном молоке,55,0.7,0.9,10.9
Кофе натуральный,200,13.9,14.4,4.1
Кофе растворимый,118,15.0,3.6,7.0
Кофе со сгущенными сливками,75,3.0,5.0,4.8
Кофе со сгущенным молоком,75,3.0,5.0,4.8
Кофе чёрный без сахара,7,0.2,0.5,0.2
Краб камчатский (мясо),96,16.0,3.6,0.0
Крабовые палочки,88,17.5,2.0,0.0
Крабы консервированные,88,17.5,2.0,0.0
Краинская,0,0.0,0.0,0.0
Крапива ранняя,24,1.5,0.0,5.0
Красноглазка,125,21.9,4.2,0.0
Красноперка дальневосточная,100,18.3,3.0,0.0
Крахмал картофельный,313,0.1,0.0,78.2
Крахмал кукурузный,343,1.0,0.6,83.5
Креветка антарктическая варено-мороженая,98,20.5,1.6,0.3
Креветка антарктическая натуральная,82,17.7,1.1,0.3
Креветка дальневосточная,87,18.3,1.2,0.8
Креветки дальневосточные консервированные,88,17.5,2.0,0.0
Крекеры,417,9.2,14.1,67.7
Крекеры с отрубями,416,9.2,14.1,63.2
Крем творожный сладкий,167,11.0,5.0,19.2
Кровь свиная,216,18.0,16.0,0.0
Крупа здоровье,324,15.9,0.6,68.0
Крупа манная,333,10.3,1.0,70.6
Крупа овсяная,342,12.3,6.1,59.5
Крупа перловая,315,9.3,1.1,66.9
Крупа пионерская,331,17.7,2.2,64.1
Крупа пшено шлифованное,342,11.5,3.3,66.5
Крупа рисовая,333,7.0,1.0,74.0
Крупа флотская,324,11.5,2.1,69.3
Крупа южная,330,13.3,3.1,66.6
